feed_id,item_id,item_key
pokemondb,https://pokemondb.net/news/349/new-abilities-legends-z-a-megas-pokemon-champions-release-date,https://pokemondb.net/news/349/new-abilities-legends-z-a-megas-pokemon-champions-release-date
pokemondb,https://pokemondb.net/news/348/new-games-pokemon-winds-pokemon-waves-announced,https://pokemondb.net/news/348/new-games-pokemon-winds-pokemon-waves-announced
pokemondb,https://pokemondb.net/news/347/pokemon-firered-leafgreen-switch-pokemon-presents-upcoming,https://pokemondb.net/news/347/pokemon-firered-leafgreen-switch-pokemon-presents-upcoming
pokemondb,https://pokemondb.net/news/346/alpha-charizard-distribution-announced-in-dlc-launch-trailer,https://pokemondb.net/news/346/alpha-charizard-distribution-announced-in-dlc-launch-trailer
pokemondb,https://pokemondb.net/news/345/mega-lucario-z-revealed-legends-z-a-dlc,https://pokemondb.net/news/345/mega-lucario-z-revealed-legends-z-a-dlc
pokemondb,https://pokemondb.net/news/344/mega-zeraora-revealed,https://pokemondb.net/news/344/mega-zeraora-revealed
pokemondb,https://pokemondb.net/news/343/mega-chimecho-mega-baxcalibur-trailers-mega-dimension-dlc,https://pokemondb.net/news/343/mega-chimecho-mega-baxcalibur-trailers-mega-dimension-dlc
pokemondb,https://pokemondb.net/news/342/mega-evolutions-raichu-original-kalos-starters-announced,https://pokemondb.net/news/342/mega-evolutions-raichu-original-kalos-starters-announced
pokemondb,https://pokemondb.net/news/341/new-game-pokemon-pokopia-revealed-in-nintendo-direct,https://pokemondb.net/news/341/new-game-pokemon-pokopia-revealed-in-nintendo-direct
pokemondb,https://pokemondb.net/news/340/mega-malamar-revealed-in-news-report,https://pokemondb.net/news/340/mega-malamar-revealed-in-news-report
pokemondb,https://pokemondb.net/news/339/mega-hawlucha-revealed-in-new-trailer,https://pokemondb.net/news/339/mega-hawlucha-revealed-in-new-trailer
pokemondb,https://pokemondb.net/news/338/mega-victreebel-revealed-in-spooky-trailer,https://pokemondb.net/news/338/mega-victreebel-revealed-in-spooky-trailer
pokemondb,https://pokemondb.net/news/337/z-a-battle-club-revealed-at-pokemon-world-championships,https://pokemondb.net/news/337/z-a-battle-club-revealed-at-pokemon-world-championships
pokemondb,https://pokemondb.net/news/336/pokemon-presents-reveals-mega-dragonite-other-features,https://pokemondb.net/news/336/pokemon-presents-reveals-mega-dragonite-other-features
pokemondb,https://pokemondb.net/news/335/z-a-royale-tournament-revealed-legends-z-a,https://pokemondb.net/news/335/z-a-royale-tournament-revealed-legends-z-a
pokemondb,https://pokemondb.net/news/334/pokemon-presents-more-details-legends-z-a-new-battle-game,https://pokemondb.net/news/334/pokemon-presents-more-details-legends-z-a-new-battle-game
pokemondb,https://pokemondb.net/news/333/generation-8-pokemon-dynamax-coming-to-pokemon-go,https://pokemondb.net/news/333/generation-8-pokemon-dynamax-coming-to-pokemon-go
pokemondb,https://pokemondb.net/news/332/pokemon-presents-reveals-new-game-pokemon-legends-z-a,https://pokemondb.net/news/332/pokemon-presents-reveals-new-game-pokemon-legends-z-a
pokemondb,https://pokemondb.net/news/331/new-mythical-pokemon-pecharunt-officially-revealed,https://pokemondb.net/news/331/new-mythical-pokemon-pecharunt-officially-revealed
pokemondb,https://pokemondb.net/news/330/epilogue-scarlet-violet-dlc-announced,https://pokemondb.net/news/330/epilogue-scarlet-violet-dlc-announced
pokemondb,https://pokemondb.net/news/329/indigo-disk-dlc-scarlet-violet-has-been-released,https://pokemondb.net/news/329/indigo-disk-dlc-scarlet-violet-has-been-released
pokemondb,https://pokemondb.net/news/328/final-trailer-indigo-disk-released,https://pokemondb.net/news/328/final-trailer-indigo-disk-released
pokemondb,https://pokemondb.net/news/327/teal-mask-dlc-scarlet-violet-has-been-released,https://pokemondb.net/news/327/teal-mask-dlc-scarlet-violet-has-been-released
pokemondb,https://pokemondb.net/news/326/new-pokemon-poltchageist-revealed-in-new-teaser,https://pokemondb.net/news/326/new-pokemon-poltchageist-revealed-in-new-teaser
